Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3201308095,Vila Esperança - Cariacica,507,53,437,69,422,75,494,507,3.1,1572,1572,1392,1377,98.92,1488,1452,2780.12,2220,1468.25,1100,15,20,10,736,836,180,212,226,262,268,161,135,128
3201308096,Campina Grande - Cariacica,875,80,846,28,740,102,347,772,3.39,2969,2969,2489,2317,93.09,2739,2482,1373.07,1200,777.63,600,128,1,24,1492,1477,480,601,548,485,410,236,130,79
3201308097,Santo André - Cariacica,1363,146,1323,37,1079,218,1179,1317,3.16,4314,4312,3664,3484,95.09,4028,3756,1629.28,1357,896.61,650,180,14,40,2109,2205,650,752,794,783,594,412,194,135
3201308098,Formate - Cariacica,30,3,30,-,25,-,17,23,3.3,114,99,102,90,88.24,108,92,1317.27,1300,721.34,612.5,4,-,1,57,57,12,21,21,18,13,13,11,5
3201308099,Tiradentes - Cariacica,244,22,237,7,193,45,244,243,3.36,819,819,668,637,95.36,741,687,1612.57,1310,917.17,700,28,-,3,398,421,151,149,149,143,112,76,28,11
3201308100,São Geraldo II - Cariacica,804,93,692,112,599,163,764,804,2.94,2363,2363,2045,1978,96.72,2194,2090,1849.47,1510,1052.35,800,69,6,12,1152,1211,318,346,472,418,366,262,113,68
3205002001,Parque das Gaivotas - Serra,1094,114,1083,5,853,168,12,1053,3.57,3915,3905,3132,2825,90.2,3529,3023,1233.7,1000,777.68,510,228,6,59,1957,1958,783,848,686,559,460,328,155,96
3205002002,Praiamar - Serra,577,53,560,6,445,89,20,575,3.54,2045,2044,1651,1493,90.43,1859,1597,1450.78,1183.5,875.03,600,110,1,19,1039,1006,394,391,400,318,242,160,94,46
3205002003,Parque Nova Fé - Serra,219,16,214,2,129,59,33,219,3.35,744,734,601,579,96.34,680,626,2152.28,1600,1198.62,800,26,5,8,332,412,143,123,107,118,89,80,49,35
3205002004,Serramar - Serra,865,81,862,3,647,167,26,865,3.41,2952,2948,2501,2362,94.44,2728,2511,1746.28,1445.5,997.81,700,113,9,27,1431,1521,451,591,498,510,400,271,137,94
3205002005,Reis Magos - Serra,233,23,209,22,148,73,37,232,3.22,751,748,648,631,97.38,698,666,2832.58,1780,1559,1000,22,15,2,359,392,103,116,110,123,97,89,49,64
3205002006,Nova Almeida Centro - Serra,112,18,94,18,64,48,50,112,3.08,345,344,308,281,91.23,325,295,2399.26,1610,1367.65,800,10,5,4,168,177,37,61,71,40,47,47,18,24
3205002007,Boa Vista (Nova Almeida) - Serra,448,50,444,-,353,71,102,408,3.64,1631,1630,1341,1255,93.59,1502,1359,1511.42,1200,890.44,600,68,2,21,840,791,290,321,333,219,207,119,87,55
3205002008,São João - Serra,716,84,701,15,562,108,608,696,3.45,2470,2470,2074,1914,92.29,2286,2066,1633.76,1221,972.38,650,117,11,40,1221,1249,396,457,440,398,309,226,129,115
3205002009,Bairro Novo - Serra,124,14,116,8,78,37,95,124,3.07,414,379,375,352,93.87,400,366,2924.03,2060,1568.67,1000,12,8,4,179,235,39,59,72,47,58,58,31,50
3205002010,Marbela - Serra,85,4,85,-,65,12,29,85,3.22,274,274,238,231,97.06,257,246,3279.36,2530,1786.83,1000,3,5,3,137,137,36,41,39,49,42,38,16,13
3205002011,Costabela - Serra,295,27,294,-,213,58,36,295,3.34,984,983,835,811,97.13,918,870,2355.76,1750,1360.97,1000,25,9,11,496,488,149,170,155,169,148,107,52,34
3205002012,Praia de Capuaba - Serra,207,36,201,2,152,35,6,198,3.23,673,668,569,514,90.33,621,544,1902.19,1300,1043.53,600,27,4,1,326,347,104,149,109,104,96,67,25,19
